,precision_at_k,mean_reciprocal_rank,ndcg,model,user
0,0.0,0.03571428571428571,0.021586053689814328,SVD,geraldne
1,0.0,0.0,0.0,NMF,geraldne
2,0.0,0.02564102564102564,0.012634522754573595,BPR,geraldne
3,0.0,0.08333333333333333,0.04464294807100452,SVD,auxtin
4,0.0,0.0,0.0,NMF,auxtin
5,0.0,0.0,0.0,BPR,auxtin
6,0.0,0.0,0.0,SVD,graciemarx
7,0.0,0.0,0.0,NMF,graciemarx
8,0.0,0.0,0.0,BPR,graciemarx
9,0.1,0.14285714285714285,0.042333405461613106,SVD,beenalee
10,0.0,0.0,0.0,NMF,beenalee
11,0.0,0.0,0.0,BPR,beenalee
12,0.2,0.5,0.10084292383547519,SVD,gabbypm729
13,0.0,0.0,0.0,NMF,gabbypm729
14,0.0,0.027777777777777776,0.012769134665078778,BPR,gabbypm729
15,0.0,0.03333333333333333,0.027249098908961787,SVD,sarahsquirm
16,0.1,0.3333333333333333,0.028586791341113266,NMF,sarahsquirm
17,0.0,0.0,0.0,BPR,sarahsquirm
18,0.1,0.3333333333333333,0.07920201013640235,SVD,feliomestre
19,0.0,0.0,0.0,NMF,feliomestre
20,0.0,0.027777777777777776,0.004618090511374923,BPR,feliomestre
21,0.0,0.0,0.0,SVD,sierramk1
22,0.0,0.0,0.0,NMF,sierramk1
23,0.0,0.0,0.0,BPR,sierramk1
24,0.2,0.3333333333333333,0.10143191904702964,SVD,emmanuelwatches
25,0.0,0.0,0.0,NMF,emmanuelwatches
26,0.0,0.0,0.0,BPR,emmanuelwatches
27,0.0,0.05,0.0,SVD,mcgirjau
28,0.0,0.0,0.0,NMF,mcgirjau
29,0.0,0.0,0.0,BPR,mcgirjau
30,0.0,0.06666666666666667,0.05676168854928707,SVD,alextang
31,0.0,0.0,0.0,NMF,alextang
32,0.0,0.0,0.0,BPR,alextang
33,0.1,0.3333333333333333,0.05824696767714762,SVD,calliejane
34,0.0,0.0,0.0,NMF,calliejane
35,0.0,0.0,0.0,BPR,calliejane
36,0.1,0.16666666666666666,0.042099270373684695,SVD,bobbywags
37,0.0,0.0,0.0,NMF,bobbywags
38,0.0,0.0,0.0,BPR,bobbywags
39,0.0,0.02857142857142857,0.01908052262560446,SVD,samiser
40,0.0,0.0,0.0,NMF,samiser
41,0.0,0.0,0.0,BPR,samiser
42,0.0,0.022727272727272728,0.02696831683218506,SVD,i_am_shego
43,0.0,0.0,0.0,NMF,i_am_shego
44,0.0,0.0,0.0,BPR,i_am_shego
45,0.0,0.037037037037037035,0.03941477654862213,SVD,ghostfacereveal
46,0.0,0.0,0.0,NMF,ghostfacereveal
47,0.0,0.0,0.0,BPR,ghostfacereveal
48,0.0,0.0,0.0,SVD,ronditchek
49,0.0,0.0,0.0,NMF,ronditchek
50,0.0,0.0,0.0,BPR,ronditchek
51,0.1,0.25,0.08065655118246294,SVD,notmerii
52,0.0,0.0,0.0,NMF,notmerii
53,0.0,0.0,0.0,BPR,notmerii
54,0.0,0.03571428571428571,0.06466536243432153,SVD,ariana_cav
55,0.0,0.0,0.0,NMF,ariana_cav
56,0.0,0.0,0.0,BPR,ariana_cav
57,0.1,1.0,0.14538403628700544,SVD,natb294
58,0.0,0.0,0.0,NMF,natb294
59,0.0,0.0625,0.017784141646475866,BPR,natb294
60,0.0,0.047619047619047616,0.05460677318155554,SVD,marijarrett
61,0.0,0.0,0.0,NMF,marijarrett
62,0.0,0.025,0.04545269382503046,BPR,marijarrett
63,0.1,0.16666666666666666,0.019651212495271787,SVD,happypumpkin18
64,0.0,0.0,0.0,NMF,happypumpkin18
65,0.0,0.038461538461538464,0.008701771823923248,BPR,happypumpkin18
66,0.0,0.038461538461538464,0.020916066804934415,SVD,chickenrunlover
67,0.0,0.0,0.0,NMF,chickenrunlover
68,0.0,0.0,0.0,BPR,chickenrunlover
69,0.2,0.25,0.05270969341123105,SVD,funkycowboyy
70,0.0,0.0,0.0,NMF,funkycowboyy
71,0.1,0.1111111111111111,0.04262116804684658,BPR,funkycowboyy
72,0.2,0.14285714285714285,0.055383344532874704,SVD,freemanlattin
73,0.0,0.0,0.0,NMF,freemanlattin
74,0.0,0.0,0.0,BPR,freemanlattin
