rank,title,rating,release_year
1,Barbie,3.82,2023
2,Parasite,4.55,2019
3,Fight Club,4.27,1999
4,Everything Everywhere All at Once,4.29,2022
5,La La Land,4.11,2016
6,Interstellar,4.37,2014
7,Oppenheimer,4.21,2023
8,Joker,3.85,2019
9,Pulp Fiction,4.26,1994
10,Whiplash,4.43,2014
11,Dune,3.89,2021
12,Get Out,4.15,2017
13,Spider-Man: Into the Spider-Verse,4.41,2018
14,Midsommar,3.77,2019
15,The Batman,3.99,2022
16,Knives Out,3.98,2019
17,The Dark Knight,4.47,2008
18,The Truman Show,4.22,1998
19,Inception,4.20,2010
20,Saltburn,3.41,2023
21,Poor Things,4.01,2023
22,Spider-Man: Across the Spider-Verse,4.44,2023
23,American Psycho,3.84,2000
24,Eternal Sunshine of the Spotless Mind,4.25,2004
25,Lady Bird,3.85,2017
26,Dune: Part Two,4.43,2024
27,The Wolf of Wall Street,4.00,2013
28,Spirited Away,4.45,2001
29,The Grand Budapest Hotel,4.24,2014
30,The Menu,3.53,2022
31,Spider-Man: No Way Home,3.84,2021
32,The Shining,4.24,1980
33,Gone Girl,4.07,2014
34,Black Swan,4.15,2010
35,Once Upon a Time... in Hollywood,3.76,2019
36,Forrest Gump,4.14,1994
37,Little Women,4.15,2019
38,Inglourious Basterds,4.35,2009
39,Challengers,3.94,2024
40,Se7en,4.33,1995
41,10 Things I Hate About You,4.01,1999
42,The Silence of the Lambs,4.33,1991
43,Kill Bill: Vol. 1,4.20,2003
44,Dead Poets Society,4.28,1989
45,The Godfather,4.55,1972
46,Avengers: Infinity War,3.97,2018
47,Shutter Island,4.13,2010
48,Call Me by Your Name,3.85,2017
49,Baby Driver,3.71,2017
50,Ratatouille,4.21,2007
51,Django Unchained,4.29,2012
52,Avengers: Endgame,3.89,2019
53,Hereditary,3.96,2018
54,Fantastic Mr. Fox,4.28,2009
55,Glass Onion,3.43,2022
56,Her,4.01,2013
57,The Social Network,3.94,2010
58,The Matrix,4.16,1999
59,Scott Pilgrim vs. the World,3.88,2010
60,Nope,3.70,2022
61,The Perks of Being a Wallflower,3.94,2012
62,Taxi Driver,4.16,1976
63,Inside Out 2,3.64,2024
64,Inside Out,3.85,2015
65,Deadpool & Wolverine,3.53,2024
66,(500) Days of Summer,3.67,2009
67,Good Will Hunting,4.32,1997
68,The Substance,3.88,2024
69,The Lord of the Rings: The Fellowship of the Ring,4.37,2001
70,Guardians of the Galaxy,3.79,2014
71,The Shawshank Redemption,4.56,1994
72,Jojo Rabbit,4.03,2019
1,Blade Runner 2049,4.11,2017
2,Arrival,4.12,2016
3,Black Panther,3.65,2018
4,Deadpool,3.68,2016
5,Donnie Darko,3.98,2001
6,Past Lives,4.17,2023
7,Pearl,3.72,2022
8,Coco,4.12,2017
9,Titanic,3.82,1997
10,Mean Girls,3.84,2004
11,Coraline,4.18,2009
12,Mad Max: Fury Road,4.19,2015
13,Up,4.10,2009
14,Howl's Moving Castle,4.33,2004
15,Anatomy of a Fall,4.14,2023
16,Drive,3.93,2011
17,Don't Look Up,3.01,2021
18,Little Miss Sunshine,4.18,2006
19,Harry Potter and the Prisoner of Azkaban,4.11,2004
20,Back to the Future,4.20,1985
21,X,3.41,2022
22,Star Wars,4.17,1977
23,Us,3.66,2019
24,GoodFellas,4.47,1990
25,Aftersun,4.23,2022
26,The Hunger Games,3.69,2012
27,Soul,3.93,2020
28,Spider-Man: Homecoming,3.47,2017
29,Avatar: The Way of Water,3.61,2022
30,Guardians of the Galaxy Vol. 3,3.96,2023
31,WALL·E,4.21,2008
32,Top Gun: Maverick,3.98,2022
33,Harry Potter and the Philosopher's Stone,3.78,2001
34,Scream,4.02,1996
35,The Lighthouse,4.03,2019
36,Alien,4.26,1979
37,The Devil Wears Prada,3.80,2006
38,Bottoms,3.81,2023
39,Bullet Train,3.56,2022
40,No Country for Old Men,4.33,2007
41,Prisoners,4.30,2013
42,Avatar,3.61,2009
43,Longlegs,3.39,2024
44,2001: A Space Odyssey,4.29,1968
45,1917,4.11,2019
46,Thor: Ragnarok,3.72,2017
47,The Breakfast Club,3.76,1985
48,Memento,4.17,2000
49,It,3.43,2017
50,The Avengers,3.66,2012
51,Spider-Man: Far From Home,3.37,2019
52,Moonlight,4.20,2016
53,Doctor Strange in the Multiverse of Madness,2.95,2022
54,Shrek,4.09,2001
55,Uncut Gems,3.95,2019
56,Catch Me If You Can,4.04,2002
57,Spider-Man,3.80,2002
58,Puss in Boots: The Last Wish,4.14,2022
59,Dunkirk,3.77,2017
60,My Neighbor Totoro,4.19,1988
61,Anyone But You,2.89,2023
62,The Empire Strikes Back,4.41,1980
63,A Quiet Place,3.65,2018
64,Killers of the Flower Moon,4.07,2023
65,Requiem for a Dream,4.10,2000
66,The Holdovers,4.22,2023
67,The Lord of the Rings: The Return of the King,4.51,2003
68,Lost in Translation,3.80,2003
69,Superbad,3.89,2007
70,Toy Story,4.12,1995
71,Nightcrawler,4.04,2014
72,Jurassic Park,4.11,1993
