movie_id,user_id,rating_val,review_text
edmond,ev1lcatboy,,i hate this fuck ass movie. no further thoughts
stream,ev1lcatboy,6,thanks jeff
the-garfield-movie,ev1lcatboy,,was not worth free pretzel bites. im just not the target audience
bad-cgi-gator,ev1lcatboy,2,1 star for the gator
monkey-man,ev1lcatboy,10,holy shit
what-the-do-we-know,ev1lcatboy,,found this at an antique store for 5 dollars. not worth it
shin-ultraman,ev1lcatboy,10,ultraman....save me......
onyx-the-fortuitous-and-the-talisman-of-souls,ev1lcatboy,6,"Holy crap. I don't think i actually *loved* this, but it was a fun time. A little too in-your-face about how self aware it is, with Onyx in particular, but all around a good time. Really Really Reallly good practical effects, fun stuff from Jeffrey Combs, great set design, etc. Song choices were great. I've watched a LOT worse for Jcombs. Probably would not watch again, but I will definitely look back on this fondly. Lot of love poured into this. Wish it was a little shorter"
uhf,ev1lcatboy,10,best movie ever made. nothing compares
puppet-master-vs-demonic-toys,ev1lcatboy,,i want to play with toys
five-nights-at-freddys,ev1lcatboy,3,"Holy shit. I really wanted to like this movie. Like really badly. I went into this with the mindset that if this was bad, I'd still enjoy it, and if it was good I would have a good FNAF movie. I can see the love from set designers and the animatronics puppetry and such.... but really nothing else. The story felt hollow and cheap, the pacing was seriously the worst I've seen in a while, and there was seemingly no tension. I could go on for a LONG time about how I feel about this, but mostly I'm just bummed."
get-out-2017,ev1lcatboy,10,Holy shit.
exhuma,dyketactics,7,sometimes it’s nice to watch something that doesn’t follow the american hollywood script structure ™️
being-john-malkovich,dyketactics,7,expected a lot more
the-merry-gentlemen,dyketactics,3,need this but it’s like a butch lesbian who came to fix the faucet instead
babes,dyketactics,6,enjoyable to watch but brought down by the millennial ™️ of it all
belly-of-a-glacier,dyketactics,,have not cried over a film in a while
a-short-film-about-killing,dyketactics,8,the only reference i didn’t get of jane schoenbrun’s last night while watching the tv glow commentary was the work of kieślowski. so here i am
time-cut,dyketactics,4,when u order 2003 from temureal talk the sister stuff got me 😢
i-saw-the-tv-glow,dyketactics,10,thank you delta airlines
gladiator-ii,dyketactics,6,ur telling me paul mescal showed up to ancient rome and didnt get a single hole rearranged ?
juno,dyketactics,10,i feel like diablo cody needs to make a resurgence but with gen z humor
close-to-you-2023,dyketactics,3,could have been a short
my-old-ass,dyketactics,5,boyfriend of bisexual girl phenotype fr
the-machine-girl,dyketactics,6,kinda bad but awesome gore effects
descent-into-darkness,dyketactics,6,what a lovely little euro trip
conclave,dyketactics,8,i’ve never been more gagged by a film
swarm-2023-1,dyketactics,9,me with julien baker
the-thing,dyketactics,8,went into the amc screen unseen tonight hoping it was nickel boys but it was some nazi movie 😭😭  almost was gonna ruin my night and then i saw another theater near me was showing the thing on 35 so we’re so back
the-bunny-game,dyketactics,1,not one to review bomb something for the hell of it but it was just so badaside from everything else egregious on top of it the score was so awful and distractingDNFFFFFF
dinner-in-america,dyketactics,8,autistic punk girl representation
profile-2018,dyketactics,4,i understand what this was getting at. but its wrong on so many levels.
heretic-2024,dyketactics,7,I SAW GOD IN THIS TACO BELL TONIGHT !!!!
the-sacrifice,dyketactics,7,it’s pretty good but i didn’t find it as thematically compelling as other films of his
red-white-royal-blue,dyketactics,7,im sorry but i eat shit up like this 😭😭 it’s so entertaining 😭😭
smile-2-2024,dyketactics,6,guys i think this might have been sponsored by voss?
fanatical-the-catfishing-of-tegan-and-sara,dyketactics,,really liked the exploration of queer female fan culture
we-live-in-time,dyketactics,5,she should have gotten with the they/them chef
american-mary,dyketactics,8,transgender surgeries on illegal aliens….
anora,dyketactics,8,lovedddddd these characters
twilight-2008,dyketactics,10,watching this directly after tv glow… isabel/tara and edward/bella are both having a trans and autistic off
will-harper,dyketactics,,watched with my family. dad asked what bottom surgery was.
the-cruise,dyketactics,8,sometimes i feel like the anti cruise is coming for me
v-h-s,dyketactics,3,"this is like my third time watching this movie, the first was in like 2012 and i still do not enjoy it. and i feel like im missing something based on how much the community enjoys it. good concept tho."
terrifier-3,dyketactics,6,i do not wanna hear about how this franchise hates women once more. just watch this movie
terrifier-2,dyketactics,7,your DAD drew that costume for you ??????
deadpool-wolverine,dyketactics,2,wasn’t gonna see this but i was bored tonight… i left 1.5 hours in and im surprised i made it that long… i just realized i would rather go home and read the plot on wikipedia
joker-folie-a-deux,dyketactics,4,not to be confused with fall out boy’s best album
red-rooms,dyketactics,8,guys she was just autistic :(
megalopolis-2024,dyketactics,2,2.5 hour watch ad
civil-war-2024,dyketactics,7,some of the sequences in this just scratch my brain in such a way… also the score is so so goodbut then so much of this is just bad
lisa-frankenstein,dyketactics,9,does universal know they made a movie with bottom surgery in it
tetsuo-the-iron-man,dyketactics,8,what a sweet little gay romance
beetlejuice-beetlejuice,dyketactics,6,soul train saved it
the-haunting-of-bly-manor,dyketactics,10,"“She was my anchor. And then, I suppose, she was my burden. She hung onto me, until she let go. And soon I'll let go too.""i can understand why it’s not for everyone but this taps into a lot of personal “horrors” for me. the horror isn’t a jump scare or a vengeful spirit, it’s about forgetting yourself and the people you love slowly. it’s about grief and the mutability of memory. as someone who has dementia running through…"
the-substance,dyketactics,5,audience was 99% full of film bros one of whom gave it a standing ovation at the end… that’s all i’m gonna say
la-chimera,dyketactics,9,oh you better not be haunting the narrative when i get there…
speak-no-evil-2024,dyketactics,5,blah blah masculinity blah blah nuclear family blah blah
robot-dreams,dyketactics,7,sending my therapy bill to the creators of this
hit-man-2023,dyketactics,5,"pretty enjoyable, and i didn’t predict a lot of the plot points which is my bar for netflix films. doesn’t feel like a linklater though."
the-thin-blue-line,dyketactics,,ACAB. i want that chocolate malt milkshake tho
fallen-leaves-2023,dyketactics,7,feels like a fassbinder film. if you wanna know how to light things in 2024 THIS IS IT!
tarot-2024,dyketactics,4,stop trying to make final destination happen! it’s NOT gonna happen!
milk-serial,dyketactics,5,low budget found footage available on youtube? sign me upultimately i had some problems with the pacing and editing. score was so distracting i would have preferred there was no score. sounded like the tik tok “creepy” video music.
the-passenger-2023,dyketactics,5,rip leopold and loeb you would have loved benson and randy
days-of-heaven,dyketactics,8,movie so beautiful i want to eat it
you-can-live-forever,dyketactics,8,it’s not a perfect movie but i like it :) something about it is so fall and comforting
the-deliverance-2024,dyketactics,2,"watched this on 1.25x while editing photos 🫶🫰this feels like it was made with about $20,000"
paris-texas,dyketactics,10,restoration so beautiful i was crying and shit
alien-romulus,dyketactics,8,close enough welcome back ellie williams
terrifier-2016,dyketactics,7,brat summer? i’m personally having a terrifier summer
blink-twice,dyketactics,6,NO ONE TOLD ME KYLE MACLACHLAN WAS IN THIS (POOKIE)
strange-darling,dyketactics,5,i blame promising young woman for this steaming pile of hot garbage
busted-babies,dyketactics,7,reminded me of a lot of random stuff so i’m just gonna make a list here:- trash humpers- this album cover- mrs. piggle wiggle: the radish cure (1994) - an episode of the pink opaque
coven-of-the-black-cube,dyketactics,9,i love goth lesbians
the-rocky-horror-picture-show,dyketactics,10,it was once in a lifetime to have susan sarandon introduce the screening and shadow cast tonight <3
the-crow-2024,dyketactics,1,its like if the after series was about andy biersack instead of harry styles. actually those movies are better.i literally walked out of the theater. i’m going to fuckint sleep
party-girl-1995,dyketactics,8,she’s just like me when i read camus for the first time
aliens,dyketactics,6,was taken out by the james cameron of it all… so boring and mid
mastermind-to-think-like-a-killer,dyketactics,,"maybe i’m biased because i worked on this show but this is a great little 3-part series about an incredible woman. everyone should hear her story. i found it really moving how she always stood up for the underdog, even at 87."
camp-rock,dyketactics,,how have i never realized this was shot on 35
wizards-of-waverly-place-the-movie,dyketactics,,i remember that wizard battle like it was yesterday
mid90s,dyketactics,6,so much of this is so so good. we need to bring back 16mm features fr 🙏🏻but a lot of the momentum is ruined for me by the decision to show a 28 year old actress in a sex scene with an 11 year old actor. i get that they wanted to portray rape/grooming but there is a way to show this without perpetuating it in your cast (pen15 does this well by using body doubles). also it was really uncomfortable to hear everyone in the theater laughing in reaction to the scene when emmy and i were trying not to throw up 😭😭
cuckoo-2024,dyketactics,6,save me masc hunter schafer…
bottoms,dyketactics,9,it’s already a classic
showgirls,dyketactics,10,had to catch a screening of this for my birthday
kamikaze-hearts,dyketactics,7,can’t believe it took me so long to watch this one. reminds me thematically a lot of the work of assayas.
it-ends-with-us,dyketactics,4,i know a free people hate to see lily bloom coming…
the-neighbour-before-the-house,dyketactics,,fantastic watch
heaven-adores-you,dyketactics,,q&a with jem cohen and nickolas rossihappy birthday elliott
lucky-three-an-elliott-smith-portrait,dyketactics,10,nice to see this not from a shitty youtube
trap-2024,dyketactics,6,obsessed with m. night’s dad era…his daughter ate as lady raven tho i cant liealso the only ad banner in the movie being for his other daughter’s movie the watchers
teen-beach-movie,dyketactics,,edited on imovie
hannah-montana-the-movie,dyketactics,,hannah montana is anti-gentrification
the-wicker-man,dyketactics,7,adult virgin… catholic… cop… fool… like pick a struggle
janet-planet,dyketactics,5,"god this was such a slog. i’m sorry. some of the worst projection i’ve seen from a theater ever. screen felt like i could have just stayed home and watched from my ipad.  there was no ac in the theater and i was fighting nausea the whole time. the cheeseburger i ate was nottttt sitting right. also about 30% of the theater was senile, asleep, snoring or all of the above. i connected with certain aspects of this but a…"
is-now-a-good-time,dyketactics,,not my sense of humor really
a-woman-like-eve,dyketactics,5,bring back lesbian communes
astrids-self-portrait,dyketactics,6,i want to know what rena would make if she had access to a big budget. not that this isn’t good but i see so much potential in her ideas and would love to see them executed on a larger scale. a lot of the “bad” filmmaking took me out of this one. and that gaudy 2010s coastal wine mom decor in the house. good god.
